Ordem do ponto,Modelo,Servico,RMSE,MAE,MAPE,MAD,num_obs
Total,Neural Network,F:/Dados/SMTR/linhas/007.csv,2.7038654708849257,1.8311785854636518,0.34521482243070317,1.1808132786548087,383820
1,Neural Network,F:/Dados/SMTR/linhas/007.csv,1.1303366923671478,0.7194006327986644,1.6448341527883037,0.4630024821159,383820
2,Neural Network,F:/Dados/SMTR/linhas/007.csv,1.344929434827787,0.8842224601477019,0.4990269238345756,0.6155827039874744,383820
3,Neural Network,F:/Dados/SMTR/linhas/007.csv,1.5308724407411782,1.0345331540539675,0.34142917359531527,0.7302739013459982,383820
4,Neural Network,F:/Dados/SMTR/linhas/007.csv,1.8500233014556722,1.24516286486713,0.2925442074971796,0.8470867776336917,383820
5,Neural Network,F:/Dados/SMTR/linhas/007.csv,1.9702760968960686,1.3301299028233322,0.2557620834191899,0.901955498363014,383820
6,Neural Network,F:/Dados/SMTR/linhas/007.csv,2.1863687728926053,1.4869671723451523,0.23532914729337953,1.000524543866368,383820
7,Neural Network,F:/Dados/SMTR/linhas/007.csv,2.327835894601225,1.6083400745050533,0.22324693243644603,1.0891970191491485,383820
8,Neural Network,F:/Dados/SMTR/linhas/007.csv,2.45663340338363,1.730758986232285,0.2139218517547333,1.1996646028029194,383820
9,Neural Network,F:/Dados/SMTR/linhas/007.csv,2.584783082518566,1.870033801403019,0.21057397560112745,1.334450827506294,383820
10,Neural Network,F:/Dados/SMTR/linhas/007.csv,2.7176766881683787,1.979562243860941,0.20227672141219694,1.4245313423010018,383820
11,Neural Network,F:/Dados/SMTR/linhas/007.csv,2.845182135878998,2.0932643192436697,0.19414932224179837,1.53013084641255,383820
12,Neural Network,F:/Dados/SMTR/linhas/007.csv,3.018878724560407,2.227416669207573,0.1878623642423856,1.610020513591972,383820
13,Neural Network,F:/Dados/SMTR/linhas/007.csv,3.135612674946986,2.305336888910894,0.18133123408878887,1.6506362783969752,383820
14,Neural Network,F:/Dados/SMTR/linhas/007.csv,3.2752633318532385,2.4239305066232157,0.17713173865245763,1.749002245447521,383820
15,Neural Network,F:/Dados/SMTR/linhas/007.csv,3.4527565495720896,2.558988725156999,0.17479399529885584,1.818774108626208,383820
16,Neural Network,F:/Dados/SMTR/linhas/007.csv,3.600098206399081,2.6971640664919163,0.172888372051379,1.9581594060631247,383820
17,Neural Network,F:/Dados/SMTR/linhas/007.csv,3.8638466891662486,2.917565218216491,0.1737271681506552,2.1541870795554168,383820
18,Neural Network,F:/Dados/SMTR/linhas/007.csv,3.9686388284433045,3.0085841904166664,0.17127710656700365,2.248159874507577,383820
19,Neural Network,F:/Dados/SMTR/linhas/007.csv,4.249089604444473,3.2460713656877718,0.17266308445189957,2.501293645692499,383820
20,Neural Network,F:/Dados/SMTR/linhas/007.csv,4.594628051585309,3.4871821239754204,0.17381362838253073,2.60737040085127,383820
Total,Neural Network,F:/Dados/SMTR/linhas/010.csv,3.1521648027357863,2.285406892013757,0.49805718862023163,1.6292122463449554,16470
1,Neural Network,F:/Dados/SMTR/linhas/010.csv,1.7752936523147171,1.279663797544465,1.3772173464955506,0.9720580970549206,16470
2,Neural Network,F:/Dados/SMTR/linhas/010.csv,1.9515944009444461,1.440662044004286,0.5851434847018031,1.1194312902383179,16470
3,Neural Network,F:/Dados/SMTR/linhas/010.csv,2.252139062341551,1.648746689198045,0.3894850660478802,1.2777314791659595,16470
