feed_version,feed_start_date,feed_end_date,stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,versao_modelo
2024-03-18,2024-03-18, ,3107O00044C0, ,Estação Anchieta :: Norte, , ,-22.82497,-43.40218, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5146O00020C9, ,Estação Benjamin do Monte, , ,-22.90576,-43.58057, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5146O00031C9, ,Estação Benjamin do Monte, , ,-22.905948,-43.580943, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00038C0, ,Estação Benvido de Novaes, , ,-23.014742,-43.46644, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,4132O00035C0, ,Estação Benvido de Novaes, , ,-23.014444,-43.468586, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3080O00007C0, ,Estação Cavalcante :: Sul, , ,-22.874366,-43.315263, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5151O00300C0, ,Estação Ilha de Guaratiba, , ,-23.008917,-43.540776, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5151O00235C0, ,Estação Ilha de Guaratiba, , ,-23.008775,-43.540876, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5138O00017C0, ,Estação Magalhães Bastos, , ,-22.867906,-43.413339, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5148O00019C9, ,Estação Paciência :: Sul, , ,-22.91668,-43.63292, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5148O00098C0, ,Estação Paciência :: Sul, , ,-22.91691,-43.63264, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5144O00477C0, ,Estação Parque Esperança, , ,-22.906899,-43.572276, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5147O00019C0, ,Estação Parque São Paulo, , ,-22.916094,-43.622498, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5147O00012C0, ,Estação Parque São Paulo, , ,-22.916504,-43.622003, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3079O00047C0, ,Estação Quintino :: Norte, , ,-22.888158,-43.321630999999996, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,3079O00007C9, ,Estação Quintino :: Norte, , ,-22.888321,-43.320463, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5149O00203C9, ,Estação Santa Cruz :: Sul, , ,-22.91555,-43.68352, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5149O00131C9, ,Estação Vendas de Varanda, , ,-22.951333,-43.650534, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
2024-03-18,2024-03-18, ,5149O00262C9, ,Estação Vendas de Varanda, , ,-22.950945,-43.650553, , ,0, , , , , ,03463db9710c9c66e6d6e064040e49b5a25cc215
