trip_id,start_time,end_time,headway_secs,exact_times
dd7ce37d-b23c-43a5-942d-5a1d4e75c5ff,04:15:00,05:25:00,2100,0
657a0ca1-a8e9-40d7-b6ff-24d0bcb68303,15:55:00,17:25:00,1800,0
d48685c1-da60-47f9-85e8-99fe10600eb5,20:30:00,21:40:00,2100,0
45a28bcb-6858-4c29-93ef-e2f331caf0f9,16:20:00,17:20:00,1800,0
657d0e98-f2be-4aae-bc89-1c1e89cb2db8,21:35:00,23:15:00,3000,0
0a8517d9-c27c-41f9-ae1a-707ab5e4b24f,05:30:00,08:10:00,1200,0
49681e78-260f-456f-b497-09d04249c8ad,07:30:00,14:10:00,2400,0
c24dedc6-1179-409b-a044-99d418e0a697,14:10:00,22:25:00,2700,0
8c178518-37d0-4c38-b186-d2fc8939342f,08:03:30,08:45:30,360,0
5c2f5899-fbf9-401a-875f-903af2f255c5,21:05:00,22:05:00,3600,0
c2c056f6-1691-43f8-a838-cc9f5b380ec8,05:15:00,21:05:00,3000,0
a7ae9584-eb05-4f87-8d3d-72c170f1cf05,05:00:00,06:40:00,3000,0
8fd71bb9-0ac2-4263-bc6a-89ff2c0ce715,06:14:00,07:42:00,480,0
7312a932-2133-41be-972d-72eb5be6919f,07:49:00,08:43:00,1080,0
0a9f8047-6043-45b6-b4f2-874c390ebaaf,20:40:00,21:40:00,3600,0
cc3fc763-80ff-40a2-973a-1c2dcbe4a52d,21:53:00,24:08:00,1620,0
5972db1a-6b31-4895-a2a1-1527f6f5ad45,20:38:30,21:26:30,480,0
3f1a9044-be34-44ee-8a10-b52b9338ed27,17:33:00,20:09:00,2340,0
c132b645-52d0-487c-aab5-c47b6d673efd,06:31:00,07:21:00,1500,0
338bec33-5a52-41af-888c-69e17641c5a2,07:10:00,08:35:00,1020,0
810ffe52-c7b3-40b8-8260-deb5d12fd834,04:00:00,05:10:00,2100,0
53ac7c0c-6f5d-4098-a943-fcc0a4830235,20:40:00,21:40:00,3600,0
73f88fdd-91db-4377-b973-dec81d8909cf,07:30:00,11:10:00,1200,0
e012cf09-317a-420e-b7fa-4df798c969bf,22:35:00,23:15:00,2400,0
37d7f43b-6651-469a-b06b-c0335e67d56b,06:10:00,09:10:00,900,0
4bffdd63-9f28-40fe-b5d2-54cca05ac09e,09:43:00,10:23:00,480,0
63fa171c-2e00-4cc2-8fad-3a5895f28a22,10:02:30,10:42:30,240,0
0d49d65e-d843-4cb7-b721-697110445469,05:10:00,06:10:00,1200,0
a25593dd-776c-421e-a7fe-83034549e052,07:09:00,07:45:00,1080,0
68cd9e74-3d04-4e7e-b840-20286538aed4,15:57:30,19:42:30,150,0
c39c43ae-02b8-4304-baed-dc3f634b5b11,21:35:00,22:50:00,1500,0
75582ab3-dc4b-479c-99fa-5db34a6a554a,22:00:00,28:00:00,2400,0
397bf9fc-ecf3-4e28-97f4-3acc624df192,15:25:00,19:25:00,900,0
