service_id,date,exception_type
S_DESAT_OBRA_007,20240323,2
D_OBRA_007,20240324,1
D_DESAT_OBRA_007,20240324,2
U_OBRA_007,20240325,1
U_DESAT_OBRA_007,20240325,2
U_OBRA_007,20240326,1
U_DESAT_OBRA_007,20240326,2
U_OBRA_007,20240327,1
U_DESAT_OBRA_007,20240327,2
U_OBRA_007,20240328,1
U_DESAT_OBRA_007,20240328,2
U_OBRA_007,20240329,1
U_DESAT_OBRA_007,20240329,2
S_OBRA_007,20240330,1
S_DESAT_OBRA_007,20240330,2
D_OBRA_007,20240331,1
D_DESAT_OBRA_007,20240331,2
U_OBRA_007,20240401,1
U_DESAT_OBRA_007,20240401,2
U_OBRA_007,20240402,1
U_DESAT_OBRA_007,20240402,2
U_OBRA_007,20240403,1
U_DESAT_OBRA_007,20240403,2
U_OBRA_007,20240404,1
U_DESAT_OBRA_007,20240404,2
U_OBRA_007,20240405,1
U_DESAT_OBRA_007,20240405,2
S_OBRA_007,20240406,1
S_DESAT_OBRA_007,20240406,2
D_OBRA_007,20240407,1
D_DESAT_OBRA_007,20240407,2
U_OBRA_007,20240408,1
U_DESAT_OBRA_007,20240408,2
U_OBRA_007,20240409,1
U_DESAT_OBRA_007,20240409,2
U_OBRA_007,20240410,1
U_DESAT_OBRA_007,20240410,2
U_OBRA_007,20240411,1
U_DESAT_OBRA_007,20240411,2
U_OBRA_007,20240412,1
U_DESAT_OBRA_007,20240412,2
S_OBRA_007,20240413,1
S_DESAT_OBRA_007,20240413,2
D_OBRA_007,20240414,1
D_DESAT_OBRA_007,20240414,2
U_OBRA_007,20240415,1
U_DESAT_OBRA_007,20240415,2
U_OBRA_007,20240416,1
U_DESAT_OBRA_007,20240416,2
U_OBRA_007,20240417,1
U_DESAT_OBRA_007,20240417,2
U_OBRA_007,20240418,1
U_DESAT_OBRA_007,20240418,2
U_OBRA_007,20240419,1
U_DESAT_OBRA_007,20240419,2
S_OBRA_007,20240420,1
S_DESAT_OBRA_007,20240420,2
D_OBRA_007,20240421,1
D_DESAT_OBRA_007,20240421,2
U_OBRA_007,20240422,1
U_DESAT_OBRA_007,20240422,2
D_OBRA_007,20240423,1
U_OBRA_007,20240423,2
D_DESAT_OBRA_007,20240423,2
U_DESAT_OBRA_007,20240423,2
U_OBRA_007,20240424,1
U_DESAT_OBRA_007,20240424,2
U_OBRA_007,20240425,1
U_DESAT_OBRA_007,20240425,2
U_OBRA_007,20240426,1
U_DESAT_OBRA_007,20240426,2
S_OBRA_007,20240427,1
S_DESAT_OBRA_007,20240427,2
D_OBRA_007,20240428,1
D_DESAT_OBRA_007,20240428,2
U_OBRA_007,20240429,1
U_DESAT_OBRA_007,20240429,2
U_OBRA_007,20240430,1
U_DESAT_OBRA_007,20240430,2
D_OBRA_007,20240501,1
U_OBRA_007,20240501,2
D_DESAT_OBRA_007,20240501,2
U_DESAT_OBRA_007,20240501,2
U_OBRA_007,20240502,1
U_DESAT_OBRA_007,20240502,2
U_OBRA_007,20240503,1
U_DESAT_OBRA_007,20240503,2
S_OBRA_007,20240504,1
S_DESAT_OBRA_007,20240504,2
D_OBRA_007,20240505,1
D_DESAT_OBRA_007,20240505,2
U_OBRA_007,20240506,1
U_DESAT_OBRA_007,20240506,2
U_OBRA_007,20240507,1
U_DESAT_OBRA_007,20240507,2
U_OBRA_007,20240508,1
U_DESAT_OBRA_007,20240508,2
U_OBRA_007,20240509,1
U_DESAT_OBRA_007,20240509,2
U_OBRA_007,20240510,1
U_DESAT_OBRA_007,20240510,2
S_OBRA_007,20240511,1
S_DESAT_OBRA_007,20240511,2
D_OBRA_007,20240512,1
D_DESAT_OBRA_007,20240512,2
U_OBRA_007,20240513,1
U_DESAT_OBRA_007,20240513,2
U_OBRA_007,20240514,1
U_DESAT_OBRA_007,20240514,2
U_OBRA_007,20240515,1
U_DESAT_OBRA_007,20240515,2
U_OBRA_007,20240516,1
U_DESAT_OBRA_007,20240516,2
U_OBRA_007,20240517,1
U_DESAT_OBRA_007,20240517,2
S_OBRA_007,20240518,1
S_DESAT_OBRA_007,20240518,2
D_OBRA_007,20240519,1
D_DESAT_OBRA_007,20240519,2
U_OBRA_007,20240520,1
U_DESAT_OBRA_007,20240520,2
U_OBRA_007,20240521,1
U_DESAT_OBRA_007,20240521,2
U_OBRA_007,20240522,1
U_DESAT_OBRA_007,20240522,2
U_OBRA_007,20240523,1
U_DESAT_OBRA_007,20240523,2
U_OBRA_007,20240524,1
U_DESAT_OBRA_007,20240524,2
S_OBRA_007,20240525,1
S_DESAT_OBRA_007,20240525,2
D_OBRA_007,20240526,1
D_DESAT_OBRA_007,20240526,2
U_OBRA_007,20240527,1
U_DESAT_OBRA_007,20240527,2
U_OBRA_007,20240528,1
U_DESAT_OBRA_007,20240528,2
U_OBRA_007,20240529,1
U_DESAT_OBRA_007,20240529,2
U_OBRA_007,20240530,1
U_DESAT_OBRA_007,20240530,2
U_OBRA_007,20240531,1
U_DESAT_OBRA_007,20240531,2
S_OBRA_007,20240601,1
S_DESAT_OBRA_007,20240601,2
D_OBRA_007,20240602,1
D_DESAT_OBRA_007,20240602,2
U_OBRA_007,20240603,1
U_DESAT_OBRA_007,20240603,2
U_OBRA_007,20240604,1
U_DESAT_OBRA_007,20240604,2
U_OBRA_007,20240605,1
U_DESAT_OBRA_007,20240605,2
U_OBRA_007,20240606,1
U_DESAT_OBRA_007,20240606,2
U_OBRA_007,20240607,1
U_DESAT_OBRA_007,20240607,2
S_OBRA_007,20240608,1
S_DESAT_OBRA_007,20240608,2
D_OBRA_007,20240609,1
D_DESAT_OBRA_007,20240609,2
U_OBRA_007,20240610,1
U_DESAT_OBRA_007,20240610,2
U_OBRA_007,20240611,1
U_DESAT_OBRA_007,20240611,2
U_OBRA_007,20240612,1
U_DESAT_OBRA_007,20240612,2
U_OBRA_007,20240613,1
U_DESAT_OBRA_007,20240613,2
U_OBRA_007,20240614,1
U_DESAT_OBRA_007,20240614,2
S_OBRA_007,20240615,1
S_DESAT_OBRA_007,20240615,2
D_OBRA_007,20240616,1
D_DESAT_OBRA_007,20240616,2
U_OBRA_007,20240617,1
U_DESAT_OBRA_007,20240617,2
U_OBRA_007,20240618,1
U_DESAT_OBRA_007,20240618,2
U_OBRA_007,20240619,1
U_DESAT_OBRA_007,20240619,2
U_OBRA_007,20240620,1
U_DESAT_OBRA_007,20240620,2
U_OBRA_007,20240621,1
U_DESAT_OBRA_007,20240621,2
S_OBRA_007,20240622,1
S_DESAT_OBRA_007,20240622,2
D_OBRA_007,20240623,1
D_DESAT_OBRA_007,20240623,2
U_OBRA_007,20240624,1
U_DESAT_OBRA_007,20240624,2
U_OBRA_007,20240625,1
U_DESAT_OBRA_007,20240625,2
U_OBRA_007,20240626,1
U_DESAT_OBRA_007,20240626,2
U_OBRA_007,20240627,1
U_DESAT_OBRA_007,20240627,2
U_OBRA_007,20240628,1
U_DESAT_OBRA_007,20240628,2
S_OBRA_007,20240629,1
S_DESAT_OBRA_007,20240629,2
D_OBRA_007,20240630,1
D_DESAT_OBRA_007,20240630,2
U_OBRA_007,20240701,1
U_DESAT_OBRA_007,20240701,2
