modo,timestamp_gps,data,hora,id_veiculo,servico,latitude,longitude,flag_em_operacao,flag_em_movimento,tipo_parada,flag_linha_existe_sigmob,flag_trajeto_correto,flag_trajeto_correto_hist,status,velocidade_instantanea,velocidade_estimada_10_min,distancia,versao,min_distance_0,closest_segment_index_0,min_distance_1,closest_segment_index_1,in_route,distance_from_start_0,distance_from_start_1,direction,direction_directly_infered,distance_traveled,cumulative_distance_traveled,time_elapsed,trip
SPPO,2024-03-17 00:29:16,2024-03-17,00:29:16,A71533,409,-22.88927,-43.29303,False,False,,False,False,False,Parado fora trajeto,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7644.572900680598,13,7576.087672392937,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 00:59:16,2024-03-17,00:59:16,A71533,409,-22.88927,-43.29303,False,False,,False,False,False,Parado fora trajeto,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7644.572900680598,13,7576.087672392937,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 01:29:16,2024-03-17,01:29:16,A71533,409,-22.88927,-43.29303,False,False,,False,False,False,Parado fora trajeto,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7644.572900680598,13,7576.087672392937,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 01:59:16,2024-03-17,01:59:16,A71533,409,-22.88927,-43.29303,False,False,,False,False,False,Parado fora trajeto,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7644.572900680598,13,7576.087672392937,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 02:29:16,2024-03-17,02:29:16,A71533,409,-22.88927,-43.29303,False,False,,False,False,False,Parado fora trajeto,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7644.572900680598,13,7576.087672392937,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 02:59:16,2024-03-17,02:59:16,A71533,409,-22.88927,-43.29303,False,False,,False,False,False,Parado fora trajeto,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7644.572900680598,13,7576.087672392937,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 03:29:16,2024-03-17,03:29:16,A71533,409,-22.88927,-43.29303,False,False,,False,False,False,Parado fora trajeto,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7644.572900680598,13,7576.087672392937,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 03:59:16,2024-03-17,03:59:16,A71533,409,-22.88927,-43.29303,False,False,,False,False,False,Parado fora trajeto,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7644.572900680598,13,7576.087672392937,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:06:44,2024-03-17,04:06:44,A71533,409,-22.88927,-43.29303,False,False,,False,False,False,Parado fora trajeto,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7644.572900680598,13,7576.087672392937,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:07:02,2024-03-17,04:07:02,A71533,409,-22.88914,-43.29306,False,False,garagem,False,False,False,Parado garagem,0,1.5,14.77842960472697,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7655.342624088415,13,7586.479110118514,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:37:02,2024-03-17,04:37:02,A71533,409,-22.88915,-43.29306,False,False,garagem,False,False,False,Parado garagem,0,0.0,1.1119510117051228,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7654.653598990769,13,7585.828615316372,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:53:46,2024-03-17,04:53:46,A71533,409,-22.88915,-43.29306,False,False,garagem,False,False,False,Parado garagem,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7654.653598990769,13,7585.828615316372,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:54:16,2024-03-17,04:54:16,A71533,409,-22.88915,-43.29301,False,False,garagem,False,False,False,Parado garagem,1,0.3,5.121974812190048,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7650.0172394161,13,7581.089401676178,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:54:46,2024-03-17,04:54:46,A71533,409,-22.88916,-43.29298,False,False,garagem,False,False,False,Parado garagem,0,0.3,3.268164578445947,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7646.590178818206,13,7577.631167828268,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:55:16,2024-03-17,04:55:16,A71533,409,-22.88918,-43.29292,False,False,garagem,False,False,False,Parado garagem,0,0.4,6.536328517253656,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7639.736344790307,13,7570.714524573027,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:55:46,2024-03-17,04:55:46,A71533,409,-22.88918,-43.29293,False,False,garagem,False,False,False,Parado garagem,0,0.4,1.024394735633048,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7640.805789370667,13,7571.807786646872,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:56:16,2024-03-17,04:56:16,A71533,409,-22.88919,-43.29293,False,False,garagem,False,False,False,Parado garagem,0,0.3,1.1119510121815248,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7640.116583780288,13,7571.156411591734,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:56:46,2024-03-17,04:56:46,A71533,409,-22.88919,-43.29294,False,False,garagem,False,False,False,Parado garagem,0,0.3,1.0243946607340606,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7640.82952798548,13,7571.885734957077,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:57:16,2024-03-17,04:57:16,A71533,409,-22.88919,-43.29294,False,False,garagem,False,False,False,Parado garagem,0,0.3,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7640.82952798548,13,7571.885734957077,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:57:46,2024-03-17,04:57:46,A71533,409,-22.88919,-43.29293,False,False,garagem,False,False,False,Parado garagem,0,0.3,1.0243946607340606,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7640.116583780288,13,7571.156411591734,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:58:16,2024-03-17,04:58:16,A71533,409,-22.88919,-43.29293,False,False,garagem,False,False,False,Parado garagem,0,0.2,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7640.116583780288,13,7571.156411591734,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:58:46,2024-03-17,04:58:46,A71533,409,-22.88919,-43.29293,False,False,garagem,False,False,False,Parado garagem,0,0.2,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7640.116583780288,13,7571.156411591734,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:59:16,2024-03-17,04:59:16,A71533,409,-22.88919,-43.29293,False,False,garagem,False,False,False,Parado garagem,0,0.2,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7640.116583780288,13,7571.156411591734,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:59:46,2024-03-17,04:59:46,A71533,409,-22.88919,-43.29293,False,False,garagem,False,False,False,Parado garagem,0,0.2,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7640.116583780288,13,7571.156411591734,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 05:00:16,2024-03-17,05:00:16,A71533,409,-22.88919,-43.29292,False,False,garagem,False,False,False,Parado garagem,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7639.046665822376,13,7570.0634357721,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 05:00:46,2024-03-17,05:00:46,A71533,409,-22.8892,-43.29292,False,False,garagem,False,False,False,Parado garagem,0,0.1,1.1119510111272424,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.472262699912,13,7569.520692207016,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 05:01:16,2024-03-17,05:01:16,A71533,409,-22.88919,-43.29291,False,False,garagem,False,False,False,Parado garagem,0,0.1,1.5118926534560964,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.333555208998,13,7569.334317185767,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 05:01:46,2024-03-17,05:01:46,A71533,409,-22.88919,-43.2929,False,False,garagem,False,False,False,Parado garagem,0,0.1,1.0243946602234322,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7637.264141420911,13,7568.240697809557,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 05:02:16,2024-03-17,05:02:16,A71533,409,-22.88919,-43.2929,False,False,garagem,False,False,False,Parado garagem,0,0.1,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7637.264141420911,13,7568.240697809557,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
