modo,timestamp_gps,data,hora,id_veiculo,servico,latitude,longitude,flag_em_operacao,flag_em_movimento,tipo_parada,flag_linha_existe_sigmob,flag_trajeto_correto,flag_trajeto_correto_hist,status,velocidade_instantanea,velocidade_estimada_10_min,distancia,versao,min_distance_0,closest_segment_index_0,min_distance_1,closest_segment_index_1,in_route,distance_from_start_0,distance_from_start_1,direction,direction_directly_infered,distance_traveled,cumulative_distance_traveled,time_elapsed,trip
SPPO,2024-03-17 00:28:12,2024-03-17,00:28:12,A71565,409,-22.88927,-43.29296,False,False,,False,False,False,Parado fora trajeto,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.148161661293,13,7569.520381229101,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 00:58:12,2024-03-17,00:58:12,A71565,409,-22.88927,-43.29296,False,False,,False,False,False,Parado fora trajeto,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.148161661293,13,7569.520381229101,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 01:28:12,2024-03-17,01:28:12,A71565,409,-22.88927,-43.29296,False,False,,False,False,False,Parado fora trajeto,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.148161661293,13,7569.520381229101,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 01:58:11,2024-03-17,01:58:11,A71565,409,-22.88927,-43.29296,False,False,,False,False,False,Parado fora trajeto,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.148161661293,13,7569.520381229101,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 02:28:11,2024-03-17,02:28:11,A71565,409,-22.88927,-43.29296,False,False,,False,False,False,Parado fora trajeto,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.148161661293,13,7569.520381229101,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 02:58:11,2024-03-17,02:58:11,A71565,409,-22.88927,-43.29296,False,False,,False,False,False,Parado fora trajeto,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.148161661293,13,7569.520381229101,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 03:28:11,2024-03-17,03:28:11,A71565,409,-22.88927,-43.29296,False,False,,False,False,False,Parado fora trajeto,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.148161661293,13,7569.520381229101,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 03:58:11,2024-03-17,03:58:11,A71565,409,-22.88927,-43.29296,False,False,,False,False,False,Parado fora trajeto,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.148161661293,13,7569.520381229101,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:28:11,2024-03-17,04:28:11,A71565,409,-22.88927,-43.29296,False,False,,False,False,False,Parado fora trajeto,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.148161661293,13,7569.520381229101,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:51:21,2024-03-17,04:51:21,A71565,409,-22.88927,-43.29296,False,False,,False,False,False,Parado fora trajeto,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7638.148161661293,13,7569.520381229101,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:51:51,2024-03-17,04:51:51,A71565,409,-22.8892,-43.29295,False,False,garagem,False,False,False,Parado garagem,0,0.5,7.850777115212844,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7641.324309746246,13,7572.436362157681,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:52:21,2024-03-17,04:52:21,A71565,409,-22.8892,-43.29295,False,False,garagem,False,False,False,Parado garagem,0,0.3,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7641.324309746246,13,7572.436362157681,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
