modo,timestamp_gps,data,hora,id_veiculo,servico,latitude,longitude,flag_em_operacao,flag_em_movimento,tipo_parada,flag_linha_existe_sigmob,flag_trajeto_correto,flag_trajeto_correto_hist,status,velocidade_instantanea,velocidade_estimada_10_min,distancia,versao,min_distance_0,closest_segment_index_0,min_distance_1,closest_segment_index_1,in_route,distance_from_start_0,distance_from_start_1,direction,direction_directly_infered,distance_traveled,cumulative_distance_traveled,time_elapsed,trip
SPPO,2024-03-17 00:12:44,2024-03-17,00:12:44,A71577,409,-22.88886,-43.29312,False,False,garagem,False,False,False,Parado garagem,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7677.845697348368,13,7608.178948730848,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 00:42:44,2024-03-17,00:42:44,A71577,409,-22.88886,-43.29312,False,False,garagem,False,False,False,Parado garagem,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7677.845697348368,13,7608.178948730848,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 01:12:44,2024-03-17,01:12:44,A71577,409,-22.88886,-43.29312,False,False,garagem,False,False,False,Parado garagem,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7677.845697348368,13,7608.178948730848,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 01:42:43,2024-03-17,01:42:43,A71577,409,-22.88886,-43.29312,False,False,garagem,False,False,False,Parado garagem,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7677.845697348368,13,7608.178948730848,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 02:12:43,2024-03-17,02:12:43,A71577,409,-22.88886,-43.29312,False,False,garagem,False,False,False,Parado garagem,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7677.845697348368,13,7608.178948730848,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 02:42:43,2024-03-17,02:42:43,A71577,409,-22.88886,-43.29312,False,False,garagem,False,False,False,Parado garagem,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7677.845697348368,13,7608.178948730848,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 03:12:43,2024-03-17,03:12:43,A71577,409,-22.88886,-43.29312,False,False,garagem,False,False,False,Parado garagem,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7677.845697348368,13,7608.178948730848,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 03:42:43,2024-03-17,03:42:43,A71577,409,-22.88886,-43.29312,False,False,garagem,False,False,False,Parado garagem,0,0.0,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7677.845697348368,13,7608.178948730848,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:12:30,2024-03-17,04:12:30,A71577,409,-22.88886,-43.29312,False,False,garagem,False,False,False,Parado garagem,0,0.0,,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7677.845697348368,13,7608.178948730848,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:13:00,2024-03-17,04:13:00,A71577,409,-22.88877,-43.2932,False,False,garagem,False,False,False,Parado garagem,0,0.8,12.934922238967523,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7690.85868696232,13,7621.053627424761,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:13:30,2024-03-17,04:13:30,A71577,409,-22.88876,-43.29321,False,False,garagem,False,False,False,Parado garagem,0,0.6,1.5118948530872272,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7692.147471617851,13,7622.327019098226,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:14:00,2024-03-17,04:14:00,A71577,409,-22.88876,-43.29322,False,False,garagem,False,False,False,Parado garagem,0,0.5,1.0243979066358162,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7693.215243745544,13,7623.418166525301,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:14:30,2024-03-17,04:14:30,A71577,409,-22.88876,-43.29321,False,False,garagem,False,False,False,Parado garagem,0,0.4,1.0243979066358162,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7692.147471617851,13,7622.327019098226,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:15:00,2024-03-17,04:15:00,A71577,409,-22.88876,-43.29321,False,False,garagem,False,False,False,Parado garagem,0,0.3,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7692.147471617851,13,7622.327019098226,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:15:30,2024-03-17,04:15:30,A71577,409,-22.88876,-43.2932,False,False,garagem,False,False,False,Parado garagem,0,0.3,1.0243979069398046,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7691.435915503671,13,7621.599500694464,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:16:00,2024-03-17,04:16:00,A71577,409,-22.88875,-43.2932,False,False,garagem,False,False,False,Parado garagem,0,0.3,1.1119510115879605,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7692.013475023735,13,7622.144957144099,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:16:30,2024-03-17,04:16:30,A71577,409,-22.88875,-43.29319,False,False,garagem,False,False,False,Parado garagem,0,0.3,1.0243979813231177,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7690.945910395914,13,7621.053627424761,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:17:00,2024-03-17,04:17:00,A71577,409,-22.88876,-43.29319,False,False,garagem,False,False,False,Parado garagem,0,0.2,1.1119510116792966,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7690.368645075449,13,7620.508092860539,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:17:30,2024-03-17,04:17:30,A71577,409,-22.88876,-43.29319,False,False,garagem,False,False,False,Parado garagem,0,0.2,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7690.368645075449,13,7620.508092860539,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:18:00,2024-03-17,04:18:00,A71577,409,-22.88876,-43.29319,False,False,garagem,False,False,False,Parado garagem,0,0.2,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7690.368645075449,13,7620.508092860539,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:18:30,2024-03-17,04:18:30,A71577,409,-22.88875,-43.29319,False,False,garagem,False,False,False,Parado garagem,0,0.2,1.1119510116792966,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7690.945910395914,13,7621.053627424761,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:19:00,2024-03-17,04:19:00,A71577,409,-22.88875,-43.29318,False,False,garagem,False,False,False,Parado garagem,0,0.2,1.024397981627168,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7689.878571960382,13,7619.962519239964,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:19:30,2024-03-17,04:19:30,A71577,409,-22.88875,-43.29318,False,False,garagem,False,False,False,Parado garagem,0,0.2,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7689.878571960382,13,7619.962519239964,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:20:00,2024-03-17,04:20:00,A71577,409,-22.88875,-43.29318,False,False,garagem,False,False,False,Parado garagem,0,0.2,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7689.878571960382,13,7619.962519239964,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:20:30,2024-03-17,04:20:30,A71577,409,-22.88875,-43.29317,False,False,garagem,False,False,False,Parado garagem,0,0.2,1.0243979814760094,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7689.16680588205,13,7619.235530804572,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:21:00,2024-03-17,04:21:00,A71577,409,-22.88874,-43.29317,False,False,garagem,False,False,False,Parado garagem,0,0.2,1.1119510119288047,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7689.7445358298655,13,7619.781156477263,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:21:30,2024-03-17,04:21:30,A71577,409,-22.88874,-43.29317,False,False,garagem,False,False,False,Parado garagem,0,0.2,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7689.7445358298655,13,7619.781156477263,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
SPPO,2024-03-17 04:22:00,2024-03-17,04:22:00,A71577,409,-22.88874,-43.29317,False,False,garagem,False,False,False,Parado garagem,0,0.2,0.0,4995df90f594bb2fbe3ea815072c74d8a6b3c68a,7689.7445358298655,13,7619.781156477263,302,False,1030.2,17942.06,-1,False,0.0,0.0,0.0,0.0
